InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
MNV Magyar Nemzeti Vagyonkezelő Zrt.,47.490333,19.109372,47.475048,47.498353,19.05212,19.223079,48.21,2,"XVII. kerület, V. kerület",3,Other Municipal,0,0,1
MOHU Budapest Zrt.,47.56442,18.950911,47.56442,47.56442,18.950911,18.950911,0.0,1,II. kerület,1,Other Municipal,0,1,1
MOHU MOL Hulladékgazdálkodási Zrt.,47.502579,19.034929,47.475355,47.564346,18.9508,19.085296,144.82,4,"XII. kerület, VIII. kerület, IX. kerület, II. kerület",5,Utilities,0,0,1
MOL Magyar Olaj- és Gázipari Nyrt.,47.512185,19.06284,47.46857,47.555801,19.049552,19.076128,28.05,2,"XIII. kerület, XI. kerület",2,Other Municipal,0,0,0
MOM Park,47.490956,19.021583,47.490956,47.490956,19.021583,19.021583,0.0,1,XII. kerület,1,Parks & Environment,0,0,0
MVM Főgáz Földgázhálózati Kft.,47.501219,19.085608,47.403596,47.603945,19.007899,19.228239,534.15,16,"III. kerület, II. kerület, VII. kerület, XI. kerület, VI. kerület",34,Other Municipal,0,0,1
MVM NET,47.479755,19.046883,47.479755,47.479755,19.046883,19.046883,0.0,1,XI. kerület,1,Other Municipal,0,0,0
MVM Next Energiakereskedelmi Zrt.,47.482808,19.116033,47.444507,47.521108,19.09775,19.134317,33.89,2,"IX. kerület, XIV. kerület",2,Other Municipal,0,0,1
Magyar KĂśzĂşt,47.604828,19.097427,47.604828,47.604828,19.097427,19.097427,0.0,1,Unknown,1,Other Municipal,0,0,0
Magyar Nemzeti Múzeum,47.491723,19.062325,47.491723,47.491723,19.062325,19.062325,0.0,1,VIII. kerület,1,Other Municipal,0,0,0
Magyar Posta,47.496116,19.11839,47.432913,47.568353,19.060782,19.199722,227.7,6,"VI. kerület, VIII. kerület, XVIII. kerület, IV. kerület, IX. kerület",9,Other Municipal,0,0,0
Magyar Telekom,47.498241,19.07596,47.388351,47.57669,18.939846,19.287932,793.25,24,"IX. kerület, XXIII. kerület, XVIII. kerület, XIII. kerület, XIV. kerület",260,Other Municipal,0,0,0
Magyar Testnevelési és Sporttudományi Egyetem,47.492987,19.024163,47.492987,47.492987,19.024163,19.024163,0.0,1,XII. kerület,1,Other Municipal,0,0,0
Mammut Bevásárló- és Szórakoztató Központ,47.508912,19.026161,47.508912,47.508912,19.026161,19.026161,0.0,1,II. kerület,1,Other Municipal,0,0,0
